pokedex_number,name_fr,name_en,type1,type2,file,palette_primary,palette_secondary,palette_accent,palette_highlight
1,Bulbizarre,Bulbasaur,Grass,Poison,001_Bulbizarre_grass-poison.png,#2ECC71,#0B5D2A,#A8FF6A,#EFFFF1
2,Herbizarre,Ivysaur,Grass,Poison,002_Herbizarre_grass-poison.png,#2ECC71,#0B5D2A,#A8FF6A,#EFFFF1
3,Florizarre,Venusaur,Grass,Poison,003_Florizarre_grass-poison.png,#2ECC71,#0B5D2A,#A8FF6A,#EFFFF1
4,Salamèche,Charmander,Fire,,004_Salameche_fire.png,#FF5A1F,#8C1D18,#FFC24A,#FFF2D6
5,Reptincel,Charmeleon,Fire,,005_Reptincel_fire.png,#FF5A1F,#8C1D18,#FFC24A,#FFF2D6
6,Dracaufeu,Charizard,Fire,Flying,006_Dracaufeu_fire-flying.png,#FF5A1F,#8C1D18,#FFC24A,#FFF2D6
7,Carapuce,Squirtle,Water,,007_Carapuce_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
8,Carabaffe,Wartortle,Water,,008_Carabaffe_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
9,Tortank,Blastoise,Water,,009_Tortank_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
10,Chenipan,Caterpie,Bug,,010_Chenipan_bug.png,#B6E43A,#2C3E0A,#7CFFB2,#F6FFE0
11,Chrysacier,Metapod,Bug,,011_Chrysacier_bug.png,#B6E43A,#2C3E0A,#7CFFB2,#F6FFE0
12,Papilusion,Butterfree,Bug,Flying,012_Papilusion_bug-flying.png,#B6E43A,#2C3E0A,#7CFFB2,#F6FFE0
13,Aspicot,Weedle,Bug,Poison,013_Aspicot_bug-poison.png,#B6E43A,#2C3E0A,#7CFFB2,#F6FFE0
14,Coconfort,Kakuna,Bug,Poison,014_Coconfort_bug-poison.png,#B6E43A,#2C3E0A,#7CFFB2,#F6FFE0
15,Dardargnan,Beedrill,Bug,Poison,015_Dardargnan_bug-poison.png,#B6E43A,#2C3E0A,#7CFFB2,#F6FFE0
16,Roucool,Pidgey,Normal,Flying,016_Roucool_normal-flying.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
17,Roucoups,Pidgeotto,Normal,Flying,017_Roucoups_normal-flying.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
18,Roucarnage,Pidgeot,Normal,Flying,018_Roucarnage_normal-flying.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
19,Rattata,Rattata,Normal,,019_Rattata_normal.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
